"unique_ID","species","Long","Lat","BIO1","BIO2","BIO3","BIO4","BIO5","BIO6","BIO7","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19"
155,"Eucalyptus halophila",121.747222222222,-33.3383333333333,"167","112","53","3485","279","71","208","130","210","210","122","402","51","17","36","148","58","62","146"
156,"Eucalyptus merrickiae",121.760555555556,-33.3394444444444,"166","112","53","3462","279","71","208","130","209","209","122","400","50","17","35","147","58","62","144"
157,"Eucalyptus rigens",121.766666666667,-33.3486111111111,"166","112","53","3462","279","71","208","130","209","209","122","400","50","17","35","147","58","62","144"
158,"Eucalyptus valens",121.772777777778,-33.35,"166","112","53","3462","279","71","208","130","209","209","122","400","50","17","35","147","58","62","144"
159,"Eucalyptus tumida",121.894166666667,-33.4088888888889,"166","111","53","3407","276","70","206","130","208","208","122","414","52","17","37","154","57","60","151"
160,"Eucalyptus forrestiana",121.894166666667,-33.4088888888889,"166","111","53","3407","276","70","206","130","208","208","122","414","52","17","37","154","57","60","151"
161,"Eucalyptus foliosa",121.707222222222,-33.4822222222222,"166","110","54","3350","275","73","202","132","208","208","123","459","60","17","39","173","59","65","172"
162,"Eucalyptus uncinata subsp. 'Esperance Plains'",121.707222222222,-33.4822222222222,"166","110","54","3350","275","73","202","132","208","208","123","459","60","17","39","173","59","65","172"
163,"Eucalyptus varia",121.671944444444,-33.5172222222222,"167","109","54","3294","274","74","200","133","207","208","124","479","64","16","42","183","59","65","183"
164,"Eucalyptus kessellii subsp. eugnosta",121.613611111111,-33.5183333333333,"167","110","54","3335","275","73","202","123","208","208","123","489","65","17","42","187","60","68","187"
165,"Eucalyptus indurata",121.582222222222,-33.4819444444444,"167","111","54","3365","276","73","203","123","208","208","123","476","62","17","40","180","60","68","180"
167,"Eucalyptus varia (subsp. salsuginosa)",122.156111111111,-33.7483333333333,"167","106","55","3111","268","77","191","127","205","206","127","589","89","18","49","247","61","65","247"
168,"Eucalyptus cooperiana",122.291111111111,-33.7355555555556,"167","107","55","3151","269","75","194","126","205","206","126","581","85","18","48","241","62","66","241"
168,"Eucalyptus cooperiana",122.291111111111,-33.7388888888889,"167","107","55","3151","269","75","194","126","205","206","126","581","85","18","48","241","62","66","241"
169,"Eucalyptus x balanopelex (E. kessellii x E. semiglobosa)",122.291111111111,-33.7388888888889,"167","107","55","3151","269","75","194","126","205","206","126","581","85","18","48","241","62","66","241"
169,"Eucalyptus x balanopelex (E. kessellii x E. semiglobosa)",122.291111111111,-33.7355555555556,"167","107","55","3151","269","75","194","126","205","206","126","581","85","18","48","241","62","66","241"
170,"Eucalyptus occidentalis",122.291111111111,-33.7388888888889,"167","107","55","3151","269","75","194","126","205","206","126","581","85","18","48","241","62","66","241"
170,"Eucalyptus occidentalis",122.291111111111,-33.7355555555556,"167","107","55","3151","269","75","194","126","205","206","126","581","85","18","48","241","62","66","241"
172,"Eucalyptus micranthera",122.479166666667,-33.8138888888889,"167","108","55","3100","269","75","194","126","204","206","126","593","87","19","49","251","63","68","251"
173,"Eucalyptus cornuta",122.205833333333,-33.8208333333333,"168","105","55","3089","267","77","190","127","205","206","127","630","98","19","52","271","63","68","271"
173,"Eucalyptus cornuta",122.205833333333,-32.0638888888889,"172","130","49","4576","315","53","262","120","196","229","112","284","34","19","20","94","58","63","83"
175,"Eucalyptus ligulata subsp. ligulata",122.125833333333,-33.9761111111111,"166","103","55","3002","263","78","185","127","202","204","127","667","106","19","54","292","65","71","292"
176,"Eucalyptus aquilina",122.215555555556,-33.9819444444444,"169","104","56","2996","265","80","185","130","205","206","130","653","104","19","54","288","62","69","288"
177,"Eucalyptus notactites",122.215555555556,-33.9819444444444,"169","104","56","2996","265","80","185","130","205","206","130","653","104","19","54","288","62","69","288"
178,"Eucalyptus doratoxylon",122.212222222222,-33.9908333333333,"169","104","56","2996","265","80","185","130","205","206","130","653","104","19","54","288","62","69","288"
179,"Eucalyptus preissiana subsp. lobata",121.296944444444,-33.8219444444444,"171","108","55","3157","275","81","194","131","210","211","131","566","82","15","48","232","60","66","232"
180,"Eucalyptus tetraptera",120.595,-33.6786111111111,"168","116","55","3452","283","73","210","132","210","211","124","515","63","22","37","183","75","76","182"
181,"Eucalyptus stoatei",120.390833333333,-33.7258333333333,"168","117","55","3475","285","73","212","132","211","211","124","501","62","21","36","179","73","73","175"
