unique_ID,Long,Lat,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,species,year,Genus,Subgenus,Section,Series,Subseries,Species,Subspecies,binomen,subsp,variety,habit,height_min_mm,leaf_width_min_mm,leaf_length_min_mm,fruit_width_min_mm,fruit_length_min_mm,height_max_mm,leaf_width_max_mm,leaf_length_max_mm,fruit_width_max_mm,fruit_length_max_mm,mid_mm_height,mid_mm_leaf_width,mid_mm_leaf_length,mid_mm_fruit_width,mid_mm_fruit_length,desc,source
1220,147.3011111111111,-33.90361111111111,166,130,44,5718,321,32,289,170,93,240,93,504,53,31,13,136,116,124,116,Eucalyptus microcarpa,1996,Eucalyptus,Symphyomyrtus,Adnataria,Subbuxeales,NA,microcarpa,NA,Eucalyptus microcarpa,NA,NA,tree,NA,10,80,3,3,25000,20,150,5,7,25000,15,115,4,5,"Tree to 25 m. Bark rough, fibrous on trunk and larger branches, grey, tessellated, then smooth and white above. Juvenile leaves ovate, green. Adult leaves lanceolate, acuminate; lamina 8-15 cm long, 1-2 cm wide, green; lateral veins faint or clearly visible, at 20Â°â€“30Â°; intramarginal vein up to 1 mm from margin; petiole terete, 10-15 mm long. Peduncle angular, 3-10 mm long; pedicels 1-5 mm long, occasionally absent. Buds fusiform; operculum conical, 2-3 mm long, 2-4 mm wide; hypanthium obconical, 3-4 mm long, 2-4 mm wide. Fruits ovoid to cylindrical, not ribbed, 3-7 mm long, 3-5 mm wide. Grey. Box. Fig. 103Aâ€“B","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
1223,149.35833333333332,-33.43527777777778,114,120,46,4930,255,-3,258,82,118,177,51,863,90,58,15,246,183,231,226,Eucalyptus rubida subsp. rubida,1996,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Circulares,rubida,rubida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1224,150.0302777777778,-33.46277777777778,115,111,46,4647,244,3,241,174,62,174,54,922,109,60,18,285,196,285,206,Eucalyptus aggregata,1996,Eucalyptus,Symphyomyrtus,Maidenaria,Foveolatae,NA,aggregata,NA,Eucalyptus aggregata,NA,NA,tree,NA,10,50,3,2,18000,20,120,5,3,18000,15,85,4,2.5,"Tree to 18 m. Bark rough, fibrous, hard throughout, grey. Juvenile leaves elliptic to ovate or broadly lanceolate, green, slightly discolorous. Adult leaves lanceolate to narrowly lanceolate, acuminate; lamina 5-12 cm long, 1-2 cm wide, green; lateral veins faint, at 15Â°â€“40Â°; intramarginal vein up to 3 mm from margin; petiole terete, 4-10 mm long. Umbels 7-flowered; peduncle terete, 3-4 mm long; pedicels absent or to 2 mm long. Buds ovoid to fusiform; operculum conical, 2-3 mm long and wide; hypanthium obconical, approx 2 mm long, 2-3 mm wide. Fruits obconical, 2-3 mm long, 3-5 mm wide; disc narrow, level; valves 3 or 4, exserted or level. Black. Gum. Fig. 93Eâ€“F","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
1225,150.11694444444444,-33.52027777777778,123,114,46,4645,251,6,245,181,69,181,61,870,107,50,21,278,175,278,182,Eucalyptus blaxlandii,1997,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,NA,blaxlandii,NA,Eucalyptus blaxlandii,NA,NA,tree,NA,15,70,7,6,35000,20,120,12,8,35000,17.5,95,9.5,7,"Tree to 35 m. Bark grey-brown. Juvenile leaves ovate, green, slightly hairy on lower surface, discolorous. Adult leaves broadly lanceolate, apiculate to acuminate; lamina 7-12 cm long, 1.5-2 cm wide, shining, green, concolorous; lateral veins clearly visible, at 30Â°â€“40Â°; intramarginal vein up to 2 mm from margin; petiole channelled, 5-12 mm long. Umbels 7-11-flowered; peduncle terete or angular, 7-14 mm long; pedicels absent. Buds clavate; operculum hemispherical or rarely conical, 2-4 mm long, 3-5 mm wide; hypanthium obconical, 3-4 mm long, 3-5 mm wide. Fruits subglobular or hemispherical, 6-8 mm long, 7-12 mm wide; disc broad, convex, ascending; valves 4 or 5, exserted. Blaxlandâ€™s Stringybark. Fig. 56Kâ€“L","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
1226,150.10999999999999,-33.5475,124,115,46,4664,253,6,247,182,72,182,63,860,106,49,20,274,173,274,181,Eucalyptus pulverulenta,1996,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Circulares,pulverulenta,NA,Eucalyptus pulverulenta,NA,NA,tree,NA,12,50,6,5,9000,19,100,10,9,9000,15.5,75,8,7,"Tree to 9 m, or straggly mallee to 5 m. Bark smooth throughout, bronze to grey. Juvenile leaves opposite, sessile, amplexicaul, orbicular to ovate, glaucous, concolorous, usually persisting on mature plants. Adult leaves rarely seen, alternate, lanceolate or oblong, apiculate; lamina 5-10 cm long, 1.2-1.9 cm wide, glaucous, concolorous; lateral veins faint, at 20Â°â€“35Â°; intramarginal vein up to 1 mm from margin; petiole terete, 10-18 mm long. Umbels 3-flowered; peduncle terete, 5-8 mm long; pedicels absent. Buds ovoid, glaucous; operculum conical, 2-3 mm long, 5-6 mm wide; hypanthium obconical, 5-6 mm long and wide. Fruits cylindrical to hemispherical, glaucous, 5-9 mm long, 6-10 mm wide; disc narrow, level; valves 3 or 4, level or slightly exserted. Silver-leaved. Mountain. Gum. Fig. 98Câ€“D","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
1227,150.37166666666667,-33.7275,130,111,46,4506,250,12,238,182,79,185,70,1280,169,57,32,477,196,433,247,Eucalyptus baeuerlenii,1996,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Lanceolatae,baeuerlenii,NA,Eucalyptus baeuerlenii,NA,NA,mallee,NA,10,90,6,6,9000,25,150,10,9,9000,17.5,120,8,7.5,"Mallee to 9 m, or occasionally tree to 18 m. Bark smooth throughout, red to grey-red, cream-green or brown. Juvenile leaves opposite, sessile, broadly lanceolate, green, discolorous. Adult leaves alternate, lanceolate, often falcate, acuminate, thin; lamina 9-15 cm long, 1-2.5 cm wide, green, concolorous; lateral veins faint, at 25Â°â€“35Â°; intramarginal vein up to 1 mm from margin; petiole terete or channelled, 7-17 mm long. Umbels 3-flowered; peduncle slightly angular or flattened, 1-5 mm long; pedicels absent. Buds subpyriform, often rostrate, sometimes warty; operculum conical to rostrate, 3-4 mm long, 4-6 mm wide; hypanthium cylindrical to obconical, 4-5 mm long, 4-6 mm wide. Fruits campanulate, often 1-ribbed, with flared rim, 6-9 mm long, 6-10 mm wide; disc narrow to moderately broad, level to slightly ascending; valves 3 or 4, exserted. Fig. 96Sâ€“T","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
1233,151.62972222222223,-31.706666666666667,146,126,50,4540,268,17,251,199,95,202,86,965,139,42,37,375,131,357,154,Eucalyptus moorei subsp. serpentinicola,1996,Eucalyptus,Eucalyptus,Eucalyptus,Longitudinales,NA,moorei,serpentinicola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1235,151.62666666666667,-31.716944444444444,158,129,50,4509,281,27,254,210,106,213,98,931,137,38,40,369,120,351,139,Eucalyptus eugenioides,1996,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,NA,eugenioides,NA,Eucalyptus eugenioides,NA,NA,tree,NA,25,100,5,4,30000,33,140,9,8,30000,29,120,7,6,"Tree to 30 m. Bark grey to brown. Juvenile leaves narrowly ovate, dark green, discolorous. Adult leaves lanceolate, acuminate; lamina 10-14 cm long, 2.5-3.3 cm wide, green, concolorous or slightly discolorous; lateral veins faint, at 20Â°â€“30Â°; intramarginal vein up to 3 mm from margin; petiole channelled, 10-17 mm long. Umbels 7-11-flowered, sometimes more; peduncle angular or flattened, 6-16 mm long; pedicels 1-5 mm long, sometimes absent. Buds fusiform; operculum conical, 2-4 mm long, 3-4 mm wide; hypanthium obconical, 2-3 mm long, 3-4 mm wide. Fruits hemispherical, globular or subglobular, 4-8 mm long, 5-9 mm wide; disc broad, just descending, level, convex, or slightly ascending; valves 3 or 4, included, level or exserted. Thin-leaved. Stringybark, White. Stringybark. Fig. 57Câ€“D","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
1239,152.81361111111113,-31.283055555555556,178,105,50,3640,269,63,206,221,135,221,128,1417,181,51,36,510,174,455,246,Eucalyptus propinqua,1996,Eucalyptus,Symphyomyrtus,Exsertaria,Connexentes,NA,propinqua,NA,Eucalyptus propinqua,NA,NA,tree,NA,12,80,3,2,40000,27,140,6,5,40000,19.5,110,4.5,3.5,"Tree to 40 m. Bark grey gum type. Juvenile leaves lanceolate to broadly lanceolate. Adult leaves lanceolate, sometimes falcate; lamina 8-14 cm long, 1.2-2.7 cm wide; lateral veins just visible, at 45Â°â€“55Â°; intramarginal vein up to 1 mm from margin; petiole channelled, 10-15 mm long. Umbels 7-15-flowered; peduncle flattened, 5-15 mm long; pedicels angular, 2-5 mm long. Buds ovoid or clavate; operculum hemispherical or conical, 2-3 mm long, 3-4 mm wide; hypanthium hemispherical, 2-3 mm long, 3-4 mm wide. Fruits hemispherical or obconical, 2-5 mm long, 3-6 mm wide; disc moderately broad, level or ascending; valves 3 or 4, exserted. Seeds brown. Grey. Gum. Figs 9, 65 Iâ€“J","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
1241,153.06472222222223,-29.901666666666664,187,105,49,3762,280,67,213,230,143,232,135,1439,190,46,40,552,165,497,229,Eucalyptus bancroftii,1996,Eucalyptus,Symphyomyrtus,Exsertaria,'Liberivalvae' ms,NA,bancroftii,NA,Eucalyptus bancroftii,NA,NA,tree,NA,15,75,NA,5,30000,40,200,NA,9,30000,27.5,137.5,NA,7,"Tree to 30 m. Bark smooth throughout, pink or orange to grey-brown. Juvenile leaves ovate, green, discolorous. Adult leaves lanceolate to broadly lanceolate, acute, thick; lamina 7.5-20 cm long, 1.5-4 cm wide, green; lateral veins at 30Â°â€“60Â°; intramarginal vein up to 2 mm from margin; petiole terete or channelled, 12-25 mm long. Umbels 7-flowered; peduncle angular, 5-20 mm long; pedicels 2-5 mm long. Buds cylindrical; operculum cylindrical, 7-12 mm long, 4-5 mm wide; hypanthium hemispherical, 3-4 mm long, 4-6 mm wide. Fruits hemispherical to subglobular, often angular or ribbed, 5-9 mm long and wide; disc broad, convex; valves 3 or 4. Seeds red-brown. Orange. Gum, Bancroftâ€™s Red. Gum. Fig. 90Wâ€“X","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
